rank,address,liquid,staked,market,total
213,terra1gfmxrzjg4k5203ff5j50hqgazppdfjzyz0k3y0,1,0,0,2
214,terra18atq3jq6usqk379gkrec65ukqx8xpa7esnw3nt,0,0,0,2
215,terra1zsq6m292pfvnye2cntfdaz3qguxyz3twmld6ux,0,0,0,2
216,terra1kc0sg8a25c83cl6qjhnvp92f0aqdxrwa5d22qg,0,0,0,2
217,terra18as9l7rf27v2632zhwteurnkrw0nt3gs7h8hzw,2,0,0,2
218,terra1stm6tqdd99lrp825hvj5ye2alsurz6f7slmp24,0,0,0,2
219,terra1k7cftdjzdmtqmfl5nyny8vu77m280tm8c009x5,0,0,2,2
220,terra1x5n6qrd4kmqasft9mcelvn6ansurx26h0fp4pm,0,0,0,2
221,terra1nhvjgyga4yfkmzv7ts79vu3w2azj6mes0jhccm,1,1,0,2
222,terra16cemgtx5cwuxzfprp7zg96pmkpkhzzyf8gav4r,2,2,0,2
223,terra1gt34vqgxpkeysrkmq7j3992hv83yyaf49pgw9d,2,2,0,2
224,terra17g9tpu0u6hpukmvsa2uj200jmvrnl8pfdcevzl,0,0,0,2
225,terra129qed4tt7z3q9zdu7k7x7sx9m6m2zzflag47g9,1,0,0,2
226,terra1xhpknfxfp8agkse5u6gk8zugh0jh4a946d5swp,2,2,0,2
227,terra17lapk5p993ugazmv2uuc2wdrn3qveqlh7hklpj,2,2,0,2
228,terra17nq7lgc3y67a37pyf0ljnlec9cr2906fpl9psr,1,0,0,2
229,terra1j6l072n7m8gzy3xuwwh67w7dtzwx8k0996xw2l,2,2,0,2
230,terra1nx2vmfs8fk3lwgsar7a93pwfuzk37r34smm8mq,1,0,0,2
231,terra14sel4a2dm5a986dgf6wvkzk2lqfq3me72v8fy7,2,0,0,2
232,terra1dqst5kxwruc4g4fflv9rejmrcm0ezkxc2zw4x5,1,1,0,1
233,terra1dr9xlcr5s7dt7apycdxe82g5l66pyh3djad20w,1,1,0,1
234,terra1drwt52wuqd2p3z5y9pgylhnmqaaznga8xwfcds,1,0,0,1
235,terra1duwwejcudtnxkfmvua50vgdlcfpx9aqxatpmtm,1,0,0,1
236,terra1dw80j7tw39e0t0qwlgd9tzfl8vmuqf4wfd4hw6,1,1,0,1
237,terra1dwlzsfu6hf2svtgc3p9mupv75ku7asdjw562lh,1,0,0,1
238,terra1dyvfgwvcjx5nkh987q6n7sxscc7az0u4h42wm2,0,0,0,1
239,terra1e0d0daqr34t7kgdumgrlrwf7xye9alqf5wfsz8,1,0,0,1
240,terra1e2c6mvm0f7zk5jj8g55sjtdqkng5mw8mp2gxzc,0,0,0,1
241,terra1e3r0eezgjsfkk0pwlyhr4rlaz5n8yfp8qpnqgp,0,0,0,1
242,terra1e6p930wzfena6n7c5qkcvv3rckguuevmsy9rjz,0,0,0,1
243,terra1e88haqx09n6qq8vksffhyhp36g0gx4yux5w2a8,1,0,0,1
244,terra1ea5pmhqv0g8rl5fg8cf9qlpj9s6nnvmmlh5dsr,1,0,0,1
245,terra1ecpf8wh4kum4qh96ga35lpk7facyhyjge57auc,0,0,0,1
246,terra1ed3qw4y4ca3lpj82ugg2jqsjr9czd0yyldcpp5n5yd7hu6udqafslz0nmg,1,0,0,1
247,terra1eh5deqmpr30v7g6k58ad6z55l85gx6u3780hw4,1,0,0,1
248,terra1ehal8xp0m9teqn3fsyf9xzqc9fk030gc45fjse,0,0,0,1
249,terra1ekzsuuccwewapj7adw5y5rv3a5c0lsrmsa3me8,1,0,0,1
250,terra1emc2kzqefwgasyq48qr7q3p7gjjlw4cd9a8t7s,0,0,0,1
251,terra1emlrtly8pgrkjzq7hz5xem28842nu0nghmhh80,1,0,0,1
252,terra1enj5sly30kmn0uxhhaylaavfwmfp68xc3sr7vq,1,0,0,1
253,terra1enz9lcdcwl6km89jfcgyvk965lhs8t9pk9t43c,1,0,0,1
254,terra1eqmvce66d4ywqp09uhpcsn3celgc4pa3gdvzvt,1,0,0,1
255,terra1et6guykg48qvkm6ml84ad4pzdaknutsa4ettra,1,0,0,1
256,terra1ew8tm6wwyk2y6a9nz0kpmd2gny08jsean4gsh8,1,0,0,1
257,terra1ewxqzej62khpv3w25k87exgrfcr300auu4s8ux,0,0,0,1
258,terra1ex0ls373fdw3uufackgfedpfd2yqp9p9n7uyz9,1,0,0,1
259,terra1exmn56ehyp36qaq79f53smkwn3rq0udjj6k5yv,0,0,0,1
260,terra1ey9z5wwr6nf8mh96ruhwy6sc5gmuntfuyfdqdx,1,1,0,1
261,terra1eykdj5xp2tgcauryaj65dc0d7dnu0ze2gt72wy,1,0,0,1
262,terra1eyz7rha6jnr55jcxaq7h5pukmt9tdzmvvnf6tq,0,0,0,1
263,terra1f0z9sm9dz37h9z69yl5smcp6sd5jphv6zynre6,1,1,0,1
264,terra1f2mvwhq387qpz4mamkvy8sfx6kxzguf3eymdl0,0,0,0,1
265,terra1f3pahjh0vcqeqvj2evasen3sa6xkmqy6enf2c9,1,0,0,1
266,terra1f4q6rueku20ygq8wj8eyzv6csh0runf3cpx2qu,1,0,0,1
267,terra1f6tkja76uc5dpa4rmf8m358w27y23cxwyamdtc,1,0,0,1
268,terra1f8u4vxkmdkmgmgawxpwve9xca8sh0qz7qxftpq,0,0,0,1
269,terra1fcsvy758ymnhkhu5x5y2pudjev4tt824jk0d63,0,0,0,1
270,terra1fh3n9hxw2h4nqaeu2ecas0eu4espcnvevpcljf,0,0,0,1
271,terra1fje0f2545j8fjceqwum4nw4rcgfruqlhk8jyl3,0,0,0,1
272,terra1fjhdw4p6daaakgc42ygrkl3gx6lz29ekwp6uzm,1,0,0,1
273,terra1fltwwne3spx8u2w4lz9ngcwd6ajwf0urwvsa8u,1,0,0,1
274,terra1fmhe36k060w0cgpwfgp97saej8sk056tfqltyg,0,0,0,1
275,terra1fntz556dg6chvzkv8jv83mddfanqnku33ytr32,0,0,0,1
276,terra1fqvqhj0ar75e0z0knhwjuzlejp5qw2kwq6y2j8,0,0,0,1
277,terra1ftfwst6fe3e8zlnjlwrp5vmnsf0246wr56x3q7,0,0,0,1
278,terra1fxymqd60rgfxq62et07hgavxvy7ghvuqm7e6md,0,0,0,1
279,terra1fyt6ttm2wcqhnrem0vqqc9t42mkx9udgagccf6,0,0,0,1
280,terra1g4cvwhye3j99lz822gpz5f3t7purlwxwyrxf6r,1,1,0,1
281,terra1g4xnrkkuccfw0e2rx8xk4vq0lg7a72v4yhl3d3,1,0,0,1
282,terra1g65cpke0qga6kk7c54rmynl9kyk80hxdy8usx9,0,0,0,1
283,terra1g68kxu93k62v0ycf0a5j9d48hknffkgz7t3al3,0,0,0,1
284,terra1g692jde5e7nqpml4rmxgge22m3qvft8ufctpes,1,0,0,1
285,terra1galsk2gqf9c3zjvuukkg4apn305ht5xemax88j,0,0,0,1
286,terra1gcslw80lpe8tdl55myxhspdxljydeuvc6s83ye,1,0,0,1
287,terra1gfnldc5awsvaysudekzgzrqze3e0denqzkfeex,0,0,0,1
288,terra1ggx3feptwzn9f6y826tzq5q9c5sxrtaw2fa2p9,1,0,0,1
289,terra1ghfll96w20dvgul4v6yar7heqe0pehrw6s78w6,0,0,0,1
290,terra1gp88fnzd4uvk4t5plagz762a29f88qgew3kfa2,1,1,0,1
291,terra1gpyztc00z2xvchkhleetckc605a03wm9ryegkk,0,0,0,1
292,terra1gr96xwepumey68ymlhkwxdvm2cm3tzxacxw2su,1,0,0,1
293,terra1gszaqmyt9pmhg38cpax3vprccpjuczzp40m35s,1,1,0,1
294,terra1gu35fcwg22xhp240h6dfx4a5y3z58r5pf7zkc6,1,0,0,1
295,terra1gxcfdsl9fjc6k9s3t7v4wyyaydwe7vjpyfhgy6,0,0,0,1
296,terra1gz0dltlupt9gy0pcu7w973rtpyxwlpj8gxfyvk,0,0,0,1
297,terra1h0w67ysrzstmrwyg4uckdzl88phf0r7qewrtj2,1,0,0,1
298,terra1h0wcr3srgx0z7juzn6zjt0yzj5j6lv3y7wwk9t,0,0,0,1
299,terra1h2ctevll6qnfmjq7km97gfjez0862ezkycgkzn,1,0,0,1
300,terra1h5nhs45njqkqcp7f43kpzwk2weaszltwt5772d,0,0,0,1
301,terra1h7ja4gpgxwl5epnz7mlypzsttmkw8gceu9rc5v,1,1,0,1
